Column1,Column2
-2.5,-4.0
-2.8,-4.05
-3.079999999803259,-4.079999999802466
-3.339999999409778,-4.089999999407484
-3.579999998819575,-4.079999998815151
-3.799999998030572,-4.049999998023819
-3.999999997044927,-3.9999999970353612
-4.1799999958627065,-3.9299999958499092
-4.339999994481774,-3.8399999944656136
-4.479999992904548,-3.7299999928847196
-4.599999991131203,-3.599999991107456
-4.699999989161932,-3.4499999891340716
-4.779999986996959,-3.279999986964844
-4.839999984636541,-3.089999984600086
-4.8799999820809825,-2.8799999820401516
-4.899999979327322,-2.649999979282112
-4.899999976379353,-2.3999999763297692
-4.879999973237656,-2.129999973183705
-4.839999969903118,-1.8399999698447638
-4.77999996637164,-1.5299999663088237
-4.699999962643911,-1.1999999625764795
-4.599999958729781,-0.8499999586564453
-4.479999954635532,-0.4799999545526581
-4.339999950378927,-0.08999995027293317
-4.179999946681562,0.32000005415877114
-4.0024735863368885,0.7500000564765965
-3.8101096124810345,1.1975473823571465
-3.6054235912276678,1.6603108267648026
-3.3907607517176404,2.136095797966994
-3.1683014580254167,2.622839331826038
-2.9400676954913454,3.118605168577347
-2.7079195402439704,3.621578898904804
-2.473552757871709,4.130063185456934
-2.23849919158673,4.6424730822218985
-2.0041364767365457,5.15733143670562
-1.7717026796468567,5.6732643655534165
-1.5423029838479145,6.188996809586274
-1.3169164861583138,6.7033482347431805
-1.0964030512149319,7.215228374765764
-0.8815101779472714,7.7236331151197986
-0.67287983617453,8.227640413392235
-0.47105523595005905,8.726406386217226
-0.2764874023413981,9.219161503518768
-0.08954181789555374,9.705206890979117
0.08949511642669228,10.183910741324105
0.26040989014203975,10.654704834720885
0.4230558862063897,11.11708116830889
0.5773477106446122,11.5705886946304
0.7232555949580626,12.014830168491917
0.8608000002353164,12.449459101570817
0.9900465169894314,12.874176823882623
1.1111010124829026,13.288729651041754
1.2241050290567514,13.692906156082103
1.3292314351468875,14.086534544452478
1.4266803290138128,14.469480130664834
1.5166751937237468,14.84164291494984
1.5994593005909905,15.202955258164007
1.6752923571141523,15.553379653094257
1.744447394406381,15.892906599758437
1.8072078882185245,16.221552555586793
1.8638651068821885,16.53935798194782
1.9147156788433788,16.846385480884884
1.960059371911256,17.14271801789478
2.00019707590229,17.428457228524127
2.035428980009184,17.703721806529416
2.0660529359598057,17.968645971323603
2.0923629978462257,18.223378012416262
2.1146481293910497,18.46807890854486
2.133191069370813,18.70292101919143
2.148267345927955,18.92808684618105
2.160144430567725,19.143767863066003
2.169081022748298,19.350163410011625
2.175326456126788,19.54747965191635
2.179120217713889,19.735928605160563
2.180691571412858,19.91572721245998
2.1802592776682115,20.087096471636055
2.178031401222509,20.250260624493265
2.174205199271676,20.4054463979737
2.168967082616997,20.552882295493664
2.1624926427316318,20.69279793640528
2.1549467379883835,20.82542344156634
2.1464836326304333,20.950988863043193
2.1372471824054657,21.069723656015018
2.1273710611235135,21.181856190992292
2.116979022737921,21.287613304508024
2.1061851938853904,21.38721988648687
2.095094392152756,21.480898502544512
2.083802465664431,21.568869049517744
2.0723966499031667,21.65134844347409
2.060955937987437,21.7285503448816
2.049551460929761,21.800684894140232
2.0382468746915,21.867958484053958
2.027098751129887,21.93057355776259
2.0161569702019495,21.988728430724542
2.0054651110473025,22.042617135389957
1.9950608398166845,22.092429287251495
1.9849762923460545,22.13834997100717
1.9752384499965199,22.18055964561638
1.965869507188223,22.21923406707633
1.9568872293520683,22.25454422779141
1.9483053002064075,22.28665631145287
