Column1,Column2
3.883635687961509,4.804187437301369
3.999009431253105,5.2659908199793435
4.094383174363767,5.707794202458327
4.1697569173109095,6.129597584738322
4.225130660785135,6.531400966819334
4.263038964390259,6.91320434870137
4.286045822150809,7.275007730384443
4.296395832607564,7.616811111868565
4.296061068558549,7.938614493153755
4.286761535783876,8.24041787424003
4.269985636445643,8.522221255127418
4.247012664392821,8.784024635815943
4.218934971472056,9.025828016305637
4.186676597655208,9.247631396596535
4.15100859601693,9.44943477668868
4.112567531374886,9.631238156582116
4.071865252994323,9.793041536276895
4.029303292568505,9.934844915773079
3.985185215341152,10.056648295070731
3.939729770961554,10.158451674169932
3.8930814682027544,10.240255053070769
3.84532233154054,10.302058431773343
3.796483025597622,10.343861810277772
3.7465505904129768,10.365665188582927
3.6954785472080953,10.36746856669024
3.643191718308222,10.349271944599911
3.5895856432934172,10.311075322312176
3.5345502213008664,10.252878699827326
3.4779791263264888,10.174682077145734
3.4197731517431067,10.076485454267866
3.3598428988257116,9.95828883119436
3.2981103344652163,9.820092207926077
3.234509997060105,9.661895584464348
3.168988565576127,9.483698960811246
3.101506755901775,9.285502336970636
3.0320399144193977,9.06730571295206
2.9605781298680873,8.829109088765225
2.8871245426946506,8.573536229144874
2.8116969408593375,8.30417185967914
2.7343273512858106,8.024125840306619
2.6550614980945713,7.736111140728992
2.5739581573801855,7.4424933011878025
2.4910884275318805,7.145323733706152
2.406534932421764,6.8463816903333035
2.3203909731324397,6.547195010873438
2.232759642382863,6.249072792022448
2.1437529143020813,5.9531254249351635
2.0534907208143887,5.660286368782686
1.9621000245803562,5.371334456401947
1.8697138972047456,5.086907328247814
1.7764706102728072,4.807521540565243
1.682512745710427,4.533586992919889
1.5879863309798772,4.265420152242388
1.4930400037196758,4.003256271178377
1.3978242096119127,3.74726061770619
1.302490436510538,3.4975387406573635
1.2071904871863623,3.254145802131119
1.1120757924354687,3.0170950129530762
1.0172967657537415,2.7863652114057427
0.9230022002975181,2.561907628563847
0.8293387084251205,2.3436518858055755
0.7364502037423603,2.131511271539689
0.6444774252531634,1.9253873449806558
0.5535575029404345,1.7251739150056111
0.46382356386843704,1.530760441818201
