Column1,Column2
4.1705322889851315,1.5142941213606709
4.44745483165382,1.760015908130507
4.704377374123236,1.985737694707711
4.941299916393381,2.1914594810927444
5.158222458464253,2.377181267286201
5.355145000335854,2.542903053288924
5.532067542008189,2.688624839102119
5.688990083481262,2.8143466247274223
5.82591262475508,2.9200684101674668
5.942835165829654,3.0057901954263473
6.039757706704992,3.071511980512019
6.11668024738111,3.1172337654456572
6.173602787858024,3.142955550561984
6.210525328135755,3.150041118150737
6.227447868214325,3.1403656751095403
6.224370408093764,3.115637813546489
6.201292947774104,3.077419528145422
6.158215487254786,3.027133388863725
6.095138026536458,2.966090982914164
6.012060565619178,2.8955126985459736
5.908983104503018,2.8165208849214527
5.785905643188065,2.730144446833672
5.64282818167443,2.6373209837379084
5.4797507199622535,2.538897009874077
5.29667325805172,2.435631391316375
5.093595795943078,2.328200863693589
4.870518333636679,2.217199840973879
4.627440871133047,2.103145599439812
4.364363408433035,1.9864853328935757
4.081285945538214,1.8676021612436535
3.778208482452139,1.7468192825974853
3.4551310191871525,1.6244058622706208
3.1127332767351703,1.5005870809698088
2.7566851753097894,1.3755498811965277
2.3920987406351717,1.2494554676661538
2.0235475026098877,1.1224524615040468
1.6550908965430382,0.9946922011837985
1.2903142924348414,0.8663543099075877
0.9323430395922283,0.7376708331449222
0.5838668705813852,0.6089510323257497
0.247169047599119,0.48059827504891006
-0.07584439216036659,0.3531111492346879
-0.3836230921298338,0.22705765768205666
-0.6749489652804157,0.10299642517507979
-0.9489120153810189,-0.018514505332282077
-1.2048859449639675,-0.1369291879448029
-1.4424990611929402,-0.25172378927052447
-1.6616104580853546,-0.3624051336560963
-1.8622821610760985,-0.46851782502142153
-2.044751966477035,-0.5696500064478696
-2.209408333919448,-0.6654378303331232
-2.3567657178302532,-0.7555687211099016
-2.487443624171154,-0.8397842957734489
-2.602147855979561,-0.9178818708788605
-2.7016508104651074,-0.9897132378864104
-2.7867774926044464,-1.0551846412129313
-2.8583883219685147,-1.1142546889787062
-2.917371701173429,-1.1669312169034032
-2.9646292567322385,-1.2132683361685246
-3.0010666800148735,-1.2533640072662235
-3.0275846985965815,-1.2873576362878048
-3.0450739254962365,-1.3154275586101507
-3.0544067947704483,-1.3377869882732982
-3.0564298468351283,-1.3546800837325814
-3.0519613958668854,-1.3663784061779358
-3.041787952639423,-1.3731758847487976
-3.02665981035158,-1.3753847127150853
-3.0072873446270028,-1.3733320670693003
-2.9843398933691176,-1.3673555013034016
-2.958445048676065,-1.3577992984846452
-2.930187534058642,-1.3450110175374688
-2.9001085988643927,-1.3293382566245313
-2.8687058769147202,-1.3111256524837862
-2.836432898263197,-1.2907121298576014
-2.8037006074755593,-1.2684284107641617
-2.7708782560213367,-1.244594789328977
-2.7382947161079287,-1.2195191742202705
-2.7062399793589003,-1.1934953974205036
-2.6749667819333522,-1.1668017851164068
-2.6446923886782954,-1.1396999838955364
-2.6156005027952154,-1.1124340331899678
-2.587843270127101,-1.0852296729953517
-2.561543349754797,-1.0582938743018957
-2.536796025118051,-1.0318145783865131
-2.5136713323793995,-1.0059606301144493
-2.492216185123645,-0.9808818896648205
-2.4724564768309545,-0.956709506607995
-2.45439914477003,-0.9335563400023948
-2.4380341810786605,-0.9115175081235689
-2.4233365788126378,-0.8906710515684951
-2.4102682026429316,-0.8710786937721667
-2.3987795756630947,-0.8527866834112481
-2.3888115754088446,-0.8358267037315308
-2.380297033762281,-0.8202168345032321
-2.3731622368100678,-0.8059625530626751
-2.3673283220347936,-0.7930577617238624
-2.362712571400016,-0.7814858297220347
-2.3592295999575095,-0.7712206387701324
-2.356792372125462,-0.7622276222529111
-2.3553132505134555,-0.7544647890404929
-2.3547048930332277,-0.7478837238620886
